# Donnees Temperature / Potentiel(calibré),pour V :  écart type =0.009106159916814294 et moyenne = 1.57070351758794
-188.14,1.57
-188.14,1.56
-188.14,1.57
-188.14,1.58
-188.14,1.57
-188.14,1.56
-188.14,1.58
-188.14,1.58
-188.14,1.56
-188.14,1.56
-188.14,1.58
-188.14,1.58
-188.14,1.56
-188.14,1.56
-188.14,1.58
-188.14,1.58
-188.14,1.56
-188.14,1.57
-188.14,1.58
-188.14,1.58
-188.11,1.56
-188.11,1.56
-188.14,1.58
-188.14,1.57
-188.14,1.56
-188.14,1.57
-188.14,1.58
-188.14,1.57
-188.14,1.56
-188.14,1.57
-188.11,1.59
-188.14,1.57
-188.14,1.56
-188.14,1.57
-188.14,1.59
-188.14,1.57
-188.14,1.56
-188.14,1.57
-188.14,1.58
-188.11,1.57
-188.14,1.56
-188.14,1.57
-188.14,1.58
-188.14,1.58
-188.14,1.57
-188.14,1.59
-188.14,1.60
-188.14,1.57
-188.14,1.56
-188.14,1.58
-188.14,1.58
-188.14,1.56
-188.14,1.57
-188.14,1.58
-188.14,1.58
-188.14,1.56
-188.14,1.56
-188.14,1.58
-188.14,1.58
-188.14,1.56
-188.14,1.56
-188.14,1.58
-188.14,1.58
-188.14,1.56
-188.14,1.56
-188.14,1.58
-188.14,1.58
-188.11,1.56
-188.14,1.56
-188.14,1.58
-188.14,1.58
-188.14,1.56
-188.11,1.57
-188.14,1.58
-188.14,1.57
-188.14,1.56
-188.14,1.57
-188.14,1.58
-188.14,1.57
-188.14,1.55
-188.14,1.56
-188.14,1.58
-188.14,1.57
-188.14,1.56
-188.14,1.57
-188.14,1.58
-188.14,1.57
-188.14,1.56
-188.14,1.58
-188.14,1.58
-188.14,1.57
-188.14,1.56
-188.14,1.57
-188.14,1.58
-188.14,1.57
-188.14,1.56
-188.14,1.57
-188.14,1.58
-188.14,1.57
-188.14,1.56
-188.14,1.58
-188.14,1.58
-188.14,1.57
-188.14,1.56
-188.14,1.58
-188.14,1.58
-188.14,1.57
-188.11,1.56
-188.14,1.58
-188.14,1.58
-188.14,1.56
-188.14,1.56
-188.14,1.58
-188.14,1.58
-188.14,1.56
-188.14,1.56
-188.14,1.58
-188.14,1.58
-188.14,1.56
-188.14,1.56
-188.14,1.58
-188.14,1.58
-188.14,1.56
-188.14,1.56
-188.14,1.58
-188.14,1.58
-188.14,1.56
-188.14,1.56
-188.14,1.58
-188.14,1.58
-188.14,1.56
-188.14,1.57
-188.14,1.58
-188.14,1.58
-188.14,1.56
-188.14,1.57
-188.14,1.58
-188.14,1.57
-188.14,1.56
-188.14,1.57
-188.14,1.58
-188.14,1.57
-188.14,1.56
-188.14,1.57
-188.14,1.58
-188.14,1.57
-188.11,1.56
-188.14,1.57
-188.14,1.58
-188.14,1.57
-188.14,1.56
-188.14,1.57
-188.11,1.58
-188.14,1.57
-188.14,1.56
-188.14,1.57
-188.14,1.58
-188.14,1.56
-188.14,1.56
-188.14,1.57
-188.14,1.58
-188.14,1.57
-188.14,1.56
-188.14,1.58
-188.14,1.58
-188.14,1.56
-188.14,1.56
-188.14,1.58
-188.14,1.58
-188.14,1.56
-188.14,1.56
-188.14,1.58
-188.14,1.58
-188.14,1.56
-188.11,1.56
-188.14,1.58
-188.14,1.58
-188.14,1.56
-188.14,1.57
-188.11,1.58
-188.14,1.57
-188.14,1.56
-188.14,1.57
-188.14,1.58
-188.14,1.57
-188.14,1.56
-188.14,1.57
-188.14,1.58
-188.14,1.57
-188.14,1.56
-188.14,1.57
-188.11,1.58
-188.11,1.56
-188.14,1.56
-188.14,1.58
-188.11,1.58
-188.14,1.57
-188.11,1.56
-188.14,1.58
