# Donnees Temperature / Potentiel(calibré),pour V :  écart type =2.8458329944145997 et moyenne = 259.1111111111111
21.20,260.00
21.20,250.00
21.20,260.00
21.24,260.00
21.20,260.00
21.20,260.00
21.24,260.00
21.20,260.00
21.24,260.00
21.20,260.00
21.17,260.00
21.20,250.00
21.24,260.00
21.20,260.00
21.24,260.00
21.20,260.00
21.20,260.00
21.24,250.00
21.24,260.00
21.24,260.00
21.24,260.00
21.24,260.00
21.24,260.00
21.24,260.00
21.27,260.00
21.27,260.00
21.27,250.00
21.27,260.00
21.27,260.00
21.27,260.00
21.27,260.00
21.27,260.00
21.24,260.00
21.27,260.00
21.27,260.00
21.27,260.00
21.27,260.00
21.27,260.00
21.24,260.00
21.27,260.00
21.27,260.00
21.27,260.00
21.31,260.00
21.24,260.00
21.31,260.00
21.27,260.00
21.31,260.00
21.27,260.00
21.27,260.00
21.27,260.00
21.27,260.00
21.27,260.00
21.27,260.00
21.31,260.00
21.31,260.00
21.31,260.00
21.31,260.00
21.34,260.00
21.31,260.00
21.31,260.00
21.34,260.00
21.34,260.00
21.31,260.00
21.34,260.00
21.34,260.00
21.34,260.00
21.34,260.00
21.34,260.00
21.34,260.00
21.34,260.00
21.34,260.00
21.34,260.00
21.34,260.00
21.37,260.00
21.34,260.00
21.34,260.00
21.37,260.00
21.34,260.00
21.37,250.00
21.37,260.00
21.37,260.00
21.37,250.00
21.37,260.00
21.37,260.00
21.37,260.00
21.37,260.00
21.37,260.00
21.37,260.00
21.37,260.00
21.34,260.00
21.41,260.00
21.37,260.00
21.37,260.00
21.37,260.00
21.37,250.00
21.34,250.00
21.37,260.00
21.37,260.00
21.37,250.00
21.37,260.00
